SN,ZONE,STATE,LGAs,NAME OF WARD (INEC),NAME OF WARD (STATE),HEALTH FACILITY,,,,,,,
127,SEZ,ABIA,UGWUNAGBO,SIX,WARD SIX,ASA- UMUAKWA,,,,,,,
128,SEZ,ABIA,UGWUNAGBO,TEN,WARD TEN,NGWAIYIEKWE PHC,,,,,,,
129,SEZ,ABIA,UGWUNAGBO,THREE,WARD THREE,ABAYI NCHOKORO,,,,,,,
130,SEZ,ABIA,UGWUNAGBO,TWO,WARD TWO,UGWUNAGBO PHC,,,,,,,
131,SEZ,ABIA,UKWA EAST,AKWETE,AKWETE OHANDU,AKWETE,,,,,,,
132,SEZ,ABIA,UKWA EAST,AZUMINI ,AZUMINI,OHURU PHC,,,,,,,
133,SEZ,ABIA,UKWA EAST,IKWUEKE EAST,IKWUEKE EAST,OHAMBELE,,,,,,,
134,SEZ,ABIA,UKWA EAST,IKWUEKE WEST,IKWUEKE WEST,OBUNKU,,,,,,,
135,SEZ,ABIA,UKWA EAST,IKWUORIE,IKWUORIE,OHANKU,,,,,,,
136,SEZ,ABIA,UKWA EAST,IKWURIATOR EAST,IKWURIATOR EAST,AKANU,,,,,,,
137,SEZ,ABIA,UKWA EAST,IKWURIATOR WEST,IKWURIATOR WEST,ABAKI,,,,,,,
138,SEZ,ABIA,UKWA EAST,NKPOROBE/OHURU,OHURU/MKPOROBE,OHURU PHC,,,,,,,
139,SEZ,ABIA,UKWA EAST,OBOHIA ,OBOHIA,OBOHIA,,,,,,,
140,SEZ,ABIA,UKWA EAST,UMUIGUBE ACHARA,UMUIGUBE ACHARA,AKIRIKA UKU,,,,,,,
141,SEZ,ABIA,UKWA WEST,ASA NORTH ,ASA NORTH,OMUMA -UZOR PHC,,,,,,,
142,SEZ,ABIA,UKWA WEST,ASA SOUTH,ASA SOUTH,UMUAKA PHC,,,,,,,
143,SEZ,ABIA,UKWA WEST,IPU EAST,IPU EAST,OBEHIE PHC,,,,,,,
144,SEZ,ABIA,UKWA WEST,IPU SOUTH ,IPU SOUTH,IMO RIVER,,,,,,,
145,SEZ,ABIA,UKWA WEST,IPU WEST,IPU WEST,OWAZA,,,,,,,
146,SEZ,ABIA,UKWA WEST,OBOKWE,OBOKWE,OBOKWE HC,,,,,,,
147,SEZ,ABIA,UKWA WEST,OBUZOR,OBUZOR,UMUELECHI PHC,,,,,,,
