SN,ZONE,STATE,LGAs,NAME OF WARD (INEC),NAME OF WARD (STATE),HEALTH FACILITY,,,,,,,
6598,SWZ,ONDO,ONDO EAST,ASANTAN OJA,ASANTAN,PHC ASANTAN,,,,,,,
6599,SWZ,ONDO,ONDO EAST,TEPO,TEKUILE,CHC TEKUILE,,,,,,,
6600,SWZ,ONDO,ONDO WEST,ENUOWA/OBALU,JILALU,BHC JILALU,,,,,,,
6601,SWZ,ONDO,ONDO WEST,GBAGHENGHA/GBONGBO,LAJE,LAJE COMPREHENSIVE HEALTH CENTRE,,,,,,,
6602,SWZ,ONDO,ONDO WEST,IFORE/ODOSIDA/LORO,MAROKO,MPHC MAROKO,,,,,,,
6603,SWZ,ONDO,ONDO WEST,ILUNLA/BADBGE/ODOWO 1,IGUNSHIN,IGUNSHIN PRIMARY HEALTH CARE CENTRE,,,,,,,
6604,SWZ,ONDO,ONDO WEST,ILUNLA/BADBGE/ODOWO 2,ILUNLA WARD,BHC ILUNLA,,,,,,,
6605,SWZ,ONDO,ONDO WEST,LITAYE/OBUNKEKORE,IGBINDO,LAOSO PRIMARY HEALTH CARE CENTER,,,,,,,
6606,SWZ,ONDO,ONDO WEST,LODOSA/IPRUKU/LINJOKA,YABA,AKINJAGULA PRIMARY HEALTH CENTRE,,,,,,,
6607,SWZ,ONDO,ONDO WEST,ODOJOMU/ERINKITA/LEGERI,OKA,BHC AYEYEMI,,,,,,,
6608,SWZ,ONDO,ONDO WEST,OKEAGUNLA/OKEROWO/OKEAGA,MOFERERE,PRIMARY HEALTH CARE CENTER MOFERERE.,,,,,,,
6609,SWZ,ONDO,ONDO WEST,OKELISA/OKEDOKO/OGBODU,OKELISA OKEDOKO,BHC BETTER LIFE,,,,,,,
6610,SWZ,ONDO,ONDO WEST,OKETUNBA/OKEDIBO/SOKOTI,SURULERE,BHC SURULERE,,,,,,,
6611,SWZ,ONDO,ONDO WEST,ORISUMBARE/ARAROMI,LEKERE,BHC ABUSORO,,,,,,,
6612,SWZ,ONDO,OSE,AFO,AFO,BASIC HEALTH CENTRE OWALAFO,,,,,,,
6613,SWZ,ONDO,OSE,IDOANI 1,IDOANI1,COMPREHENSIVE HEALTH CENTRE IDOANI,,,,,,,
6614,SWZ,ONDO,OSE,IDOANI 11,IDOANI2,BASIC HEALTH CENTRE OKELUJU,,,,,,,
6615,SWZ,ONDO,OSE,IDOGUN,IDOGUN,BASIC HEALTH CENTRE IDOGUN,,,,,,,
6616,SWZ,ONDO,OSE,IFON 1,IFON 1,IFON PRIMARY HEALTH CLINIC,,,,,,,
6617,SWZ,ONDO,OSE,IFON 11,"IFON 2
IFON",MODEL COMPREHENSIVE HEALTH CENTER IFON,,,,,,,
6618,SWZ,ONDO,OSE,IKARO/ELEGBEKA,IKARO ELEGBEKA,BASIC HEALTH CENTRE ELEGBEKA,,,,,,,
6619,SWZ,ONDO,OSE,IMERI,IMERI,BASIC HEALTH CENTRE IMERI,,,,,,,
6620,SWZ,ONDO,OSE,IMORU/ARIMOGIJA,1/IMORU/ARIMOGIJA,BASIC_HEALTH_CENTRE_IKARO/PHC_IMORU,,,,,,,
6621,SWZ,ONDO,OSE,IYAGBA,IJAGBA,PHC IJAGBA,,,,,,,
6622,SWZ,ONDO,OSE,OKELUSE,OKELUSE,COTTAGE HOSPITAL OKELUSE,,,,,,,
6623,SWZ,ONDO,OSE,UTE,UTE,PRIMARY HEALTH CENTER UTE,,,,,,,
6624,SWZ,ONDO,OWO,EHINOGBE,EHINOGBE,BHC EHINOGBE,,,,,,,
6625,SWZ,ONDO,OWO,IDASEN/OBASOOTO,IDASEN,IDASEN PHC,,,,,,,
6626,SWZ,ONDO,OWO,IGBOROKO 1,IGBOROKO 1,BHC OKE MAPO,,,,,,,
6627,SWZ,ONDO,OWO,IGBOROKO 11,IGBOROKO 2,BHC OKEDOGBON,,,,,,,
6628,SWZ,ONDO,OWO,IJEBU 1,IJEBU 1,IJEBU 1 PHC,,,,,,,
6629,SWZ,ONDO,OWO,IJEBU 11,IJEBU 2,BHC IJEBU II,,,,,,,
6630,SWZ,ONDO,OWO,ILORO,ILORO,BHC ILORO,,,,,,,
6631,SWZ,ONDO,OWO,IPELE,IPELE,IPELE PHC,,,,,,,
6632,SWZ,ONDO,OWO,ISAIPEN,ISAIPEN,BHC ISAIPEN,,,,,,,
6633,SWZ,ONDO,OWO,IYERE,IYERE,BHC ALAGUNTAN,,,,,,,
6634,SWZ,ONDO,OWO,USO/EMURE ILE,USO/EMURE-ILE,BHC (MAT) USO,,,,,,,
6635,SWZ,ONDO,AKOKO NORTH EAST,ILEPA 1,ILEPA 1,BASIC HEALTH CENTRE ILEPA,,,,,,,
6636,SWZ,ONDO,AKOKO NORTH EAST,ILEPA 2,ILEPA 4,BASIC HEALTH CENTRE ALAPATA__ILEPA,,,,,,,
6637,SWZ,ONDO,ONDO EAST,BOLORUNDURO,BOLORUNDURO,PRIMARY HEALTH CENTER OBUN ONDO,,,,,,,
6638,SWZ,ONDO,ONDO EAST,OBOTO,OBOTO,BHC OBOTO,,,,,,,
6639,SWZ,OSUN,AIYEDAADE,ANLUGBUA,ANLUGBUA,AGO OWU MODEL PHC,,,,,,,
6640,SWZ,OSUN,AIYEDAADE,ARAROMI OWU,ARAROMI OWU,ARAROMI PHC,,,,,,,
6641,SWZ,OSUN,AIYEDAADE,BALOGUN,BALOGUN,WAKAJAIYE JUNCTION PHC,,,,,,,
6642,SWZ,OSUN,AIYEDAADE,GBONGAN RURAL,GBONGAN RURAL,WAKAJAIYE TOWN PHC,,,,,,,
6643,SWZ,OSUN,AIYEDAADE,IJUGBE/OKE ESO/OKE OWU,IJUGBE,IJUGBE PHC,,,,,,,
6644,SWZ,OSUN,AIYEDAADE,LAGERE AMOLA,LAGERE,ILE IDI ASA PHC,,,,,,,
6645,SWZ,OSUN,AIYEDAADE,OBALUFON,OBALUFON,ORILE OWU MODEL PHC,,,,,,,
6646,SWZ,OSUN,AIYEDAADE,ODEOMU RURAL,ODE OMU RURAL,TONKERE PHC,,,,,,,
6647,SWZ,OSUN,AIYEDAADE,OLUFI,OLUFI,AKIRIBOTO 2 PHC,,,,,,,
6648,SWZ,OSUN,AIYEDAADE,OTUN BALOGUN,OTUN BALOGUN,WAKAJAIYE ROAD PHC,,,,,,,
6649,SWZ,OSUN,AIYEDAADE,OTUN OLUFI,OTUN OLUFI,OKE ELU PHC,,,,,,,
6650,SWZ,OSUN,AIYEDIRE,ILEOGBO 1,POPO(ILEOGBO),PHC POPO,,,,,,,
6651,SWZ,OSUN,AIYEDIRE,ILEOGBO II,OOSA ILEOGBO,PHC OKE ODO,,,,,,,
6652,SWZ,OSUN,AIYEDIRE,KUTA I,AMOBI(KUTA I),PHC AMOBI,,,,,,,
6653,SWZ,OSUN,AIYEDIRE,OKE OSUN,OKE-OSUN,PHC ONIGANGAN,,,,,,,
6654,SWZ,OSUN,AIYEDIRE,OKE OSUN,GBOGBO(OKE OSUN),AYITEDO,,,,,,,
6655,SWZ,OSUN,AIYEDIRE,OLUPONNA II,OMISORE(OLUPONNA II),ARAROMI HEALTH CENTRE,,,,,,,
6656,SWZ,OSUN,AIYEDIRE,OLUPONNA II,ILEOGBO IDI APE,OKOMI PRIMARY HEALTH CENTRE,,,,,,,
6657,SWZ,OSUN,AIYEDIRE,OLUPONNA III,ILAJI(OLUPONNA III),PHC ILAJI,,,,,,,
6658,SWZ,OSUN,AIYEDIRE,OLUPONNA III,IDI-OGUN(OLUPONNA III),PHC IDI-OGUN,,,,,,,
6659,SWZ,OSUN,AIYEDIRE,OLUPONNA IV,ISALE OBA(OLUPONNA IV),PHC ISALE OBA,,,,,,,
6660,SWZ,OSUN,ATAKUNMOSA EAST,AJEBANDELE,AJEBANDELE,AYINRIN ADEDEJI PHC,,,,,,,
6661,SWZ,OSUN,ATAKUNMOSA EAST,AYEGUNLE,ODOGBO(AYEGUNLE),ODOGBO PHC,,,,,,,
6662,SWZ,OSUN,ATAKUNMOSA EAST,ETI ONI,ETI-ONI,ITAAPA PHC,,,,,,,
6663,SWZ,OSUN,ATAKUNMOSA EAST,FAFORIJI,FAFORIJI,FAFORIJI PHC,,,,,,,
6664,SWZ,OSUN,ATAKUNMOSA EAST,FOREST RESERVE I,SOKOTO(FOREST RESERVE 1),SOKOTO PHC,,,,,,,
6665,SWZ,OSUN,ATAKUNMOSA EAST,FOREST RESERVE II,AROWOJOBE(FOREST RESERVE II),AROWOJOBE PHC,,,,,,,
6666,SWZ,OSUN,ATAKUNMOSA EAST,IGANGAN,IGANGAN,IGANGAN PHC,,,,,,,
6667,SWZ,OSUN,ATAKUNMOSA EAST,IPERINDO,IPERINDO,IPERINDO PHC,,,,,,,
6668,SWZ,OSUN,ATAKUNMOSA EAST,IPOLE,IPOLE,IPOLE PHC,,,,,,,
6669,SWZ,OSUN,ATAKUNMOSA EAST,IWARA,IWARA,IWARA PHC,,,,,,,
6670,SWZ,OSUN,ATAKUNMOSA WEST,IBODI,IBODI,IYERE PHC,,,,,,,
6671,SWZ,OSUN,ATAKUNMOSA WEST,IFELODUN,IFELODUN,IJANA PHC,,,,,,,
6672,SWZ,OSUN,ATAKUNMOSA WEST,IFEWARA I,IFEWARA 1,OGOGODOJA PHC,,,,,,,
6673,SWZ,OSUN,ATAKUNMOSA WEST,IFEWARA II,IFEWARA 11,IFEWARA PHC,,,,,,,
6674,SWZ,OSUN,ATAKUNMOSA WEST,ISA-OBI,ISAOBI,INISA PHC,,,,,,,
6675,SWZ,OSUN,ATAKUNMOSA WEST,ITAGUNMODI,ITAGUNMODI,ITAGUNMODI PHC,,,,,,,
6676,SWZ,OSUN,ATAKUNMOSA WEST,MUROKO,MUROKO,IPOYE PHC,,,,,,,
6677,SWZ,OSUN,ATAKUNMOSA WEST,OKE-BODE,OKE BODE,KAJOLA PHC,,,,,,,
6678,SWZ,OSUN,ATAKUNMOSA WEST,OSU I,OSU 1,OKE OJA PHC,,,,,,,
6679,SWZ,OSUN,ATAKUNMOSA WEST,OSU II,OSU 111,OKE OMI PHC,,,,,,,
6680,SWZ,OSUN,ATAKUNMOSA WEST,OSU III,OSU11,ASAWO PHC,,,,,,,
6681,SWZ,OSUN,BOLUWADURO,ERIPA,ERIPA,ERIPA PHC,,,,,,,
6682,SWZ,OSUN,BOLUWADURO,GBELERU OBAALA I,IGBAJO 1,AYETORO PHC,,,,,,,
6683,SWZ,OSUN,BOLUWADURO,GBELERU OBAALA II,IGBAJO 2,IBUDOKIRIJI PHC,,,,,,,
6684,SWZ,OSUN,BOLUWADURO,IRESI I,IRESI1,IRESI PHC,,,,,,,
6685,SWZ,OSUN,BOLUWADURO,IRESI II,IRESI 2,MODEL PHC,,,,,,,
6686,SWZ,OSUN,BOLUWADURO,OBALA ILURO,IGBAJO 3,IGBAJO P.H.C,,,,,,,
6687,SWZ,OSUN,BOLUWADURO,OKE IRUN,OKE-IRUN,OKEIRUN PHC,,,,,,,
6688,SWZ,OSUN,BOLUWADURO,OKE ODE OTAN,OKE ODE,OMI ERAN PHC,,,,,,,
6689,SWZ,OSUN,BOLUWADURO,OKE OMI OTAN,OKE OMI,OKE OMI PHC,,,,,,,
6690,SWZ,OSUN,BOLUWADURO,OKE OTAN,OKE-OTAN,IMOJIGBON PHC,,,,,,,
6691,SWZ,OSUN,BORIPE,AAGBA,AAGBA,AAGBA PHC,,,,,,,
6692,SWZ,OSUN,BORIPE,ADA I,ISO EGE,ISO EGE PHC,,,,,,,
6693,SWZ,OSUN,BORIPE,ADA II,OKE BAALE(ADA 2),OKE BAALE PHC,,,,,,,
6694,SWZ,OSUN,BORIPE,COLLEGE/EGBEDA,ARAROMI(COLLEGE/EGEDA/IRAGBIJI),ARAROMI PHC,,,,,,,
6695,SWZ,OSUN,BORIPE,"ISALE ASA, IREE",ODOGBO(ISALE ASA IREE),ISALE ASA UNICEF PHC,,,,,,,
6696,SWZ,OSUN,BORIPE,ISALE OYO,ILARE4(ISALE OYO IRAGBIJI),ISALE OYO PHC,,,,,,,
6697,SWZ,OSUN,BORIPE,OJA OBA,ISALE OFFA(OJA OBA IRAGBIJI),MDGS ISALE OFFA,,,,,,,
6698,SWZ,OSUN,BORIPE,OKE AAREE,OKE AREE IREE,OKE AREE PHC,,,,,,,
6699,SWZ,OSUN,BORIPE,OKE ESA/OKE OGI,OKE ESA /OKE OGI IRE,OKE OGI PHC,,,,,,,
6700,SWZ,OSUN,BORIPE,OLOTI,OLOTI IRAGIBIJI,MDGS OLOTI,,,,,,,
6701,SWZ,OSUN,BORIPE,ORORUWO,ORORUWO,MDGS ORORUWO,,,,,,,
6702,SWZ,OSUN,EDE NORTH,ABOGUNDE/SAGBA,SAGBA ABOOGUNDE,SAGBA/AGBALE PHC,,,,,,,
6703,SWZ,OSUN,EDE NORTH,ALUSEKERE,ALUSEKERE,OWODE PHC,,,,,,,
6704,SWZ,OSUN,EDE NORTH,APASO,APASO,APASO PHC,,,,,,,
6705,SWZ,OSUN,EDE NORTH,ASUNMO,ASUNMON,ASUNMO PHC,,,,,,,
6706,SWZ,OSUN,EDE NORTH,BARA EJEMU,BARA EJEMU,AIPOLA PHC,,,,,,,
6707,SWZ,OSUN,EDE NORTH,ISIBO/BUHARI-ISHOLA,BUARIISIBO,OJA-TIMI PHC,,,,,,,
6708,SWZ,OSUN,EDE NORTH,OLOBA/ATAPARA,OLOBAATAPARA,ISALE OYEKU,,,,,,,
6709,SWZ,OSUN,EDE NORTH,OLOGUN/AGBAAKIN,OLOGUNAGBA AKIN,ADODO PHC,,,,,,,
6710,SWZ,OSUN,EDE NORTH,OLUSOKUN,OLUSOKUN,OLUSOKUN PHC,,,,,,,
6711,SWZ,OSUN,EDE NORTH,SABO/AGBONGBE I,SABO/AGBONGBE,OSUN AGENI PHC,,,,,,,
6712,SWZ,OSUN,EDE NORTH,SABO/AGBONGBE II,SABOII(SABO AGBONGBE),OKE GADA PHC,,,,,,,
6713,SWZ,OSUN,EDE SOUTH,ALAJUE I,ALAJUE I,EDEDIMEJI,,,,,,,
6714,SWZ,OSUN,EDE SOUTH,ALAJUE II,ALAJUE II,ALAJUE OJA,,,,,,,
6715,SWZ,OSUN,EDE SOUTH,BABANLA/AGATE,BABANLA AGATE,OBADA,,,,,,,
6716,SWZ,OSUN,EDE SOUTH,BABASANYA,BABASANYA,BABASANYA,,,,,,,
6717,SWZ,OSUN,EDE SOUTH,JAGUNJAGUN,JAGUNJAGUN,JAGUNJAGUN,,,,,,,
6718,SWZ,OSUN,EDE SOUTH,KUYE,KUYE(OKW OBA II),KUYE,,,,,,,
6719,SWZ,OSUN,EDE SOUTH,LOOGUN,LOOGUN,EGBEDA LOOGUN,,,,,,,
6720,SWZ,OSUN,EDE SOUTH,OLODAN,OLODAN,OLODAN,,,,,,,
6721,SWZ,OSUN,EDE SOUTH,OLOKI AKODA,OLOKI AKODA,AKODA,,,,,,,
6722,SWZ,OSUN,EDE SOUTH,SEKONA,SEKONA,SEKONA,,,,,,,
6723,SWZ,OSUN,EGBEDORE,ARA I,ARA 1,PHC ARA 1,,,,,,,
6724,SWZ,OSUN,EGBEDORE,ARA II,ARA II,ALASAN,,,,,,,
6725,SWZ,OSUN,EGBEDORE,AWO/ABUDO,AWO(AWO/ABUDO),AWO,,,,,,,
6726,SWZ,OSUN,EGBEDORE,IDO-OSUN,IDO OSUN,IDO OSUN,,,,,,,
6727,SWZ,OSUN,EGBEDORE,IKOTUN,IKOTUN,IKOTUN,,,,,,,
6728,SWZ,OSUN,EGBEDORE,IRAGBERI I,IRAGBERI I(IDO OSUN),IRAGBERI 1,,,,,,,
6729,SWZ,OSUN,EGBEDORE,IRAGBERI II,IRAGBERI II,IRAGBERI 2,,,,,,,
6730,SWZ,OSUN,EGBEDORE,IWOYE /IDOO/ ORIGBO,IWOYE/IDDO/ORIGBO,IWOYE PHC (MDGS),,,,,,,
6731,SWZ,OSUN,EGBEDORE,OJO /ARO,OJO ARO,OJO,,,,,,,
6732,SWZ,OSUN,EGBEDORE,OKINNI/OFATEDO/ OLORUNSOGO,OFATEDOOLORUNSOGO,OLORUNSOGO,,,,,,,
6733,SWZ,OSUN,EJIGBO,"ELEJIGBO ""A""",SAKASAKA(ELEJIGBO),MODEL PHC SAKASAKA,,,,,,,
6734,SWZ,OSUN,EJIGBO,"ELEJIGBO ""B""/OSOLO",OKE EJIGBO(ELEJIGBO B/OSOLO),ISALE OSOLO,,,,,,,
6735,SWZ,OSUN,EJIGBO,"ELEJIGBO ""C""/MAPO",OKE EJIGBO(ELEJIGBO C/MAPO),POPO,,,,,,,
6736,SWZ,OSUN,EJIGBO,"ELEJIGBO ""C""/MAPO",OKE EJIGBO(ELEJIGBO C/MAPO),OKE BALOGUN PHC,,,,,,,
6737,SWZ,OSUN,EJIGBO,ELEJIGBO/AYEGBOGBO,AYEGBOGBO(ELEJIGBO AYEGBOGBO),AYEGBOGBO,,,,,,,
6738,SWZ,OSUN,EJIGBO,"IFE ODAN ""A""/,OWU ILE",OKE EJIGBO(IFE ODAN A/OWU-ILE),IFE ODAN,,,,,,,
6739,SWZ,OSUN,EJIGBO,"IFE ODAN ""B""/MASIFA",MASIFA(IFE-ODAN B/MASIFA),MASIFA,,,,,,,
6740,SWZ,OSUN,EJIGBO,ILAWO/ISOKO/ISUNDUNRIN,ILAWO/ISOKO/ISUNDUNRIN,ILAWO,,,,,,,
6741,SWZ,OSUN,EJIGBO,INISA I/AATO/IGBON,INISA/AATO/IGBON,IKA PHC,,,,,,,
6742,SWZ,OSUN,EJIGBO,INISA II/AFAAKE/AYEGUNLE,SONGBE(INISA II/AFAKE/AYEGUNLE),SONGBE,,,,,,,
6743,SWZ,OSUN,EJIGBO,OLA/AAYE/AGURODO,OLA(OLA/AYE/AGURODO),OLA,,,,,,,
6744,SWZ,OSUN,IFE CENTRAL,AKARABATA,AKARABATA,AKARABATA,,,,,,,
6745,SWZ,OSUN,IFE CENTRAL,ILARE I,ILARE 1,IGBOYA,,,,,,,
6746,SWZ,OSUN,IFE CENTRAL,ILARE II,ILARE 2,FAJUYI,,,,,,,
6747,SWZ,OSUN,IFE CENTRAL,ILARE III,ILARE 3,ENUWA,,,,,,,
6748,SWZ,OSUN,IFE CENTRAL,ILARE IV,ILARE 4,SABO-OLAOLU,,,,,,,
6749,SWZ,OSUN,IFE CENTRAL,IREMO I,IREMO/AJEBANDELE,ABAGBOORO PHC,,,,,,,
6750,SWZ,OSUN,IFE CENTRAL,IREMO II,IREMO2(IREMO/AJEBANDELE),ELEYELE,,,,,,,
6751,SWZ,OSUN,IFE CENTRAL,IREMO III,IREMO 3,OJATUNTUN,,,,,,,
6752,SWZ,OSUN,IFE CENTRAL,IREMO IV,IREMO 4,AKUI,,,,,,,
6753,SWZ,OSUN,IFE CENTRAL,IREMO V,IREMO 5,ADEREMI,,,,,,,
6754,SWZ,OSUN,IFE CENTRAL,MOORE/OJAJA,MOOREOJAJA,GBALEFEFE,,,,,,,
6755,SWZ,OSUN,IFE EAST,ILODE I,ILODE 1,ODOWARA PHC,,,,,,,
6756,SWZ,OSUN,IFE EAST,ILODE II,ILODE 2,OMI,,,,,,,
6757,SWZ,OSUN,IFE EAST,MODAKEKE I,MODAKEKE 1,ADEOWO,,,,,,,
6758,SWZ,OSUN,IFE EAST,MODAKEKE II,MODAKEKE 2,ITASIN,,,,,,,
6759,SWZ,OSUN,IFE EAST,MODAKEKE III,MODAKEKE 3,OKE-OTUBU,,,,,,,
6760,SWZ,OSUN,IFE EAST,MOORE,MOORE,MOORE,,,,,,,
6761,SWZ,OSUN,IFE EAST,OKEREWE I,OKEREWE 1,ILORO,,,,,,,
6762,SWZ,OSUN,IFE EAST,OKEREWE II,OKEREWE 2,OLUGBODO,,,,,,,
6763,SWZ,OSUN,IFE EAST,OKEREWE III,OKEREWE III,IFELODUN PHC,,,,,,,
6764,SWZ,OSUN,IFE EAST,YEKEMI,YEKEMI,YEKEMI,,,,,,,
6765,SWZ,OSUN,IFE NORTH,ASIPA/AKINLALU,ASIPAAKINLALU,AKINLALU,,,,,,,
6766,SWZ,OSUN,IFE NORTH,EDUNABON I,EDUNABON I,MODEL PHC EDUNABON,,,,,,,
6767,SWZ,OSUN,IFE NORTH,EDUNABON II,EDUNABON 2,TONKERE ORILE,,,,,,,
6768,SWZ,OSUN,IFE NORTH,FAMIA,FAMIA,FAMIA,,,,,,,
6769,SWZ,OSUN,IFE NORTH,IPETUMODU I,IPETUMODU 1,SOOKO,,,,,,,
6770,SWZ,OSUN,IFE NORTH,IPETUMODU II,IPETUMODU 2,OKOOKO,,,,,,,
6771,SWZ,OSUN,IFE NORTH,MORO,MORO,MORO,,,,,,,
6772,SWZ,OSUN,IFE NORTH,OYERE I,OYERE 1,ONIBAMBU,,,,,,,
6773,SWZ,OSUN,IFE NORTH,OYERE II,OYERE 2,ABORISADE,,,,,,,
6774,SWZ,OSUN,IFE NORTH,YAKOOYO,YAKOOYO,YAKOOYO,,,,,,,
6775,SWZ,OSUN,IFE SOUTH,ABIRI OGUDU,ABIRI OGUDU,AGBOROGBORO,,,,,,,
6776,SWZ,OSUN,IFE SOUTH,AYE,AYE,AYE OBA,,,,,,,
6777,SWZ,OSUN,IFE SOUTH,AYESAN,AYESAN,EGBEJODA,,,,,,,
6778,SWZ,OSUN,IFE SOUTH,IKIJA II,IKIJA 2,SAFEJO,,,,,,,
6779,SWZ,OSUN,IFE SOUTH,KERE,KERE,ARAROMI,,,,,,,
6780,SWZ,OSUN,IFE SOUTH,MEFOWORADE,MEFOWORADE,ONIGBODOGI,,,,,,,
6781,SWZ,OSUN,IFE SOUTH,OKE OWENA,OKEOWENA,ODESAN,,,,,,,
6782,SWZ,OSUN,IFE SOUTH,OLODE,OLODE,OLODE,,,,,,,
6783,SWZ,OSUN,IFE SOUTH,AARE,Aare,Ifetedo,,,,,,,
6784,SWZ,OSUN,IFE SOUTH,OSI,OSI,OSI OKERO,,,,,,,
6785,SWZ,OSUN,IFEDAYO,AKESIN,AKESIN,ORA MDG,,,,,,,
6786,SWZ,OSUN,IFEDAYO,ASAONI,ASAONI,ORA,,,,,,,
6787,SWZ,OSUN,IFEDAYO,AWORO/ OKE ILA RURAL,AWORO(AWORO/OKE-ILA),ILUPEJU,,,,,,,
6788,SWZ,OSUN,IFEDAYO,AYETORO,AYETORO,ALAGBEDE,,,,,,,
6789,SWZ,OSUN,IFEDAYO,BALOGUN,BALOGUN,OKE ILA,,,,,,,
6790,SWZ,OSUN,IFEDAYO,COOPERATIVE,CO-OPERATIVE,ALAGBEDE COOP PHC,,,,,,,
6791,SWZ,OSUN,IFEDAYO,ISINMI OLOOTU,ISINMI,OTEU,,,,,,,
6792,SWZ,OSUN,IFEDAYO,OBAALE,OBAALE,OKE OSUN,,,,,,,
6793,SWZ,OSUN,IFEDAYO,OYI,OYI,AYEGUNLE PHC,,,,,,,
6794,SWZ,OSUN,IFEDAYO,TEMIDIRE,TEMIDIRE,TEMIDIRE PHC,,,,,,,
6795,SWZ,OSUN,IFELODUN,AMOLA IKIRUN,OKE AMOLA(AMOLA IKIRUN),OKE,,,,,,,
6796,SWZ,OSUN,IFELODUN,EESA IKIRUN,EESA IKIRUN,PHC PONJU,,,,,,,
6797,SWZ,OSUN,IFELODUN,EKO ENDE/EKO AJALA,EKO ENDE,EKO ENDE,,,,,,,
6798,SWZ,OSUN,IFELODUN,IBA I,IBA 1,IBA MATERNITY,,,,,,,
6799,SWZ,OSUN,IFELODUN,IBA II,IBA 2,IBA 2,,,,,,,
6800,SWZ,OSUN,IFELODUN,IKIRUN RURAL,IREMO 5(IKIRUN RURAL),DAGBOLU,,,,,,,
6801,SWZ,OSUN,IFELODUN,ISALE/OKE AFO,OKE AFO/ISALE,OKE AFO,,,,,,,
6802,SWZ,OSUN,IFELODUN,OBAGUN,OBAAGUN,OBAAGUN,,,,,,,
6803,SWZ,OSUN,IFELODUN,OKEBA IKIRUN,OKEBA(OKEBA IKIRUN),EMILOJU,,,,,,,
6804,SWZ,OSUN,IFELODUN,OLONDE IKIRUN,OLONDE IKIRUN,OLONDE PHC,,,,,,,
6805,SWZ,OSUN,IFELODUN,OWODE IKIRUN,IREMO 3(OWODE IKIRUN),OWODE IDI OSE,,,,,,,
6806,SWZ,OSUN,IFELODUN,"STATION RD, IKIRUN",ISALE IKIRUN(STATION RD IKIRUN),AKINORUN NMDG,,,,,,,
6807,SWZ,OSUN,ILA,AJABA/EDEMOSI/ABA ORANGUN,AJABA(EYINDI/IPERIN),AJABA MDG,,,,,,,
6808,SWZ,OSUN,ILA,EJIGBO I,OKE EJIGBO 1,ITA SAPON,,,,,,,
6809,SWZ,OSUN,ILA,EJIGBO II,OKE EJIGBO 2,ADEKUNLE,,,,,,,
6810,SWZ,OSUN,ILA,EJIGBO III,OKE EJIGBO 3,OGUNLADE MDG,,,,,,,
6811,SWZ,OSUN,ILA,EYINDI,EYINDI,IGBONNIBI,,,,,,,
6812,SWZ,OSUN,ILA,IPERIN,IPERIN,DAGBOLU,,,,,,,
6813,SWZ,OSUN,ILA,IPERIN/EYINDI,IPERIN EYINDI,ISAAC ADEBAYO MDG,,,,,,,
6814,SWZ,OSUN,ILA,ISEDO I,ISEDO 1,ISEDO,,,,,,,
6815,SWZ,OSUN,ILA,ISEDO II,ISEDO2,STADIUM,,,,,,,
6816,SWZ,OSUN,ILA,OKE OLA,OKE OLA,ADEBISI JAYEOLA,,,,,,,
6817,SWZ,OSUN,ILA,OKE-EDE,OKE EDE,OKE EDE PRIMARY HEALTH CENTRE,,,,,,,
6818,SWZ,OSUN,ILESA EAST,BILADU,OKEOP(BILADU),IDO IJESA,,,,,,,
6819,SWZ,OSUN,ILESA EAST,BOLORUNDURO,BOLORUNDURO,OKE IRO,,,,,,,
6820,SWZ,OSUN,ILESA EAST,IFOSAN,IGBAYE (IFOSAN/OKE ESO),IGBAYE,,,,,,,
6821,SWZ,OSUN,ILESA EAST,IJAMO,IJAMOH,IJAMO,,,,,,,
6822,SWZ,OSUN,ILESA EAST,ILERIN,IROJO(ILERIN),IROJO,,,,,,,
6823,SWZ,OSUN,ILESA EAST,ILORO/ IROYE,ANAYE(ILORO/ROYE),ANAYE,,,,,,,
6824,SWZ,OSUN,ILESA EAST,IMO,IMO,IMO,,,,,,,
6825,SWZ,OSUN,ILESA EAST,ISARE,OKE-OYE(ISARE),OKE OYE,,,,,,,
6826,SWZ,OSUN,ILESA EAST,ITISIN,ILEMO(ITISIN/OGUDU),ILEMO,,,,,,,
6827,SWZ,OSUN,ILESA EAST,OKESA,OKESA,OKESA PHC,,,,,,,
6828,SWZ,OSUN,ILESA EAST,UPPER &LOWER IJOKA,IJOKA(UPPER & LOWER IJOKA),ABIOLA,,,,,,,
6829,SWZ,OSUN,ILESA WEST,AYESO,OKE-IYIN(AYESO),OKE-IYIN,,,,,,,
6830,SWZ,OSUN,ILESA WEST,EREJA,EREJA,EREJA,,,,,,,
6831,SWZ,OSUN,ILESA WEST,IKOYI/IKOTI/ARAROMI,ARAGAN(IKOTI/ARAROMI),IKOTI,,,,,,,
6832,SWZ,OSUN,ILESA WEST,ILAJE,ILAJE,ILAJE,,,,,,,
6833,SWZ,OSUN,ILESA WEST,ISIDA/ADETI,ADETI/ISIDA,ADETI,,,,,,,
6834,SWZ,OSUN,ILESA WEST,ISOKUN,ISOKUN,ISOKUN,,,,,,,
6835,SWZ,OSUN,ILESA WEST,ITAKOGUN/UPPER EGBE-IDI,ITAKOGUN,ORINKIRAN,,,,,,,
6836,SWZ,OSUN,ILESA WEST,LOWER EGBE-IDI,EGBE IDI(LOWER EGBEDI),EGBE IDI,,,,,,,
